client_id,client_district_id,disp_id,account_id,type,birth_year,birth_month,birth_day,gender,age,age_group,bank_district_id,frequency,account_date,LOR,max_trans_date,recency,num_of_transactions,total_credit,total_withdrawal,net_saving_rate,min_balance,max_balance,avg_balance,balance_volatility,last_balance,neg_balance_days,q1_credit_debit_ratio,q2_credit_debit_ratio,q3_credit_debit_ratio,q4_credit_debit_ratio,total_credit_card_withdrawal,total_credit_cash,total_debit_cash,total_collections,total_remittance,card_withdrawal_ratio,cash_withdrawal_ratio,cash_deposit_ratio,collection_remittance_ratio,num_loan_payments,sum_loan_payments,num_insurance_payments,total_insurance_payments,num_household_payments,total_household_payments,total_pension,total_intereset_credited,num_of_sanctions,region,inhabitants,avg_salary,crimes_96,crime_ratio_96_95,unemp_rate_96,unemp_ratio_96_95,urban_ratio,entrepreneurs_per_1000,had_previous_loan_96,amount,duration,monthly_payments,status,debt_income_ratio,days_from_acct_to_loan,avg_balance_bef_loan,avg_balance_aft_loan,aggressiveness_ratio,had_prev_card_96,card_type,days_from_acct_to_card,got_loan_97,got_card_97
1,18,1,1,OWNER,1970,12,13,F,26,Adult,18,POPLATEK MESICNE,1995-03-24,1,1996-12-31,0,74,50066.0,55579.2,-0.11011864339072419,11127.5,20525.5,15980.927027027028,2172.1060615327237,12674.5,0,0.8686265052977438,1.0254549586843942,1.1601686735549612,0.6479498322747236,0.0,5100.0,26155.2,44148.0,29424.0,-1.0,0.47059331548492966,0.10186553749051253,1.5004078303425774,0.0,0.0,0.0,0.0,12.0,29424.0,0.0,818.0,0.0,south Bohemia,70699,8968,1910,1.0977011494252873,3.35,1.1837455830388692,65.3,131,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
2,1,2,2,OWNER,1945,2,4,M,51,Adult,1,POPLATEK MESICNE,1993-02-26,3,1996-12-31,0,85,288542.9,274574.2,0.04841117213419568,14025.8,61002.0,36604.40235294118,11764.815403323595,53405.5,0,0.9895049954452859,1.1845800803172781,0.7595055242177539,1.3846923906877413,0.0,23500.0,187382.2,263068.0,87192.0,-1.0,0.6824464935161425,0.08144369520095625,3.017111661620332,0.0,0.0,0.0,0.0,12.0,87192.0,0.0,1974.9,0.0,Prague,1204953,12541,99107,1.1567515202446397,0.43,1.4827586206896552,100.0,167,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
8,51,8,6,OWNER,1938,2,21,F,58,Adult,51,POPLATEK MESICNE,1994-09-27,2,1996-12-31,0,63,81507.7,81803.2,-0.0036254243464114433,20377.3,39833.7,30651.373015873014,4377.6510640357865,33523.8,0,0.7736530905387637,0.8137242365878413,1.709486132809219,1.1010842970930923,0.0,0.0,34355.2,80028.0,47448.0,-1.0,0.41997379075635183,-1.0,1.6866464339908953,0.0,0.0,0.0,0.0,12.0,47448.0,80028.0,1479.7,0.0,east Bohemia,121947,8541,3839,1.098112128146453,2.97,1.1832669322709166,70.5,131,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
10,57,10,8,OWNER,1943,5,1,M,53,Adult,57,POPLATEK MESICNE,1995-09-21,1,1996-12-31,0,75,268773.2,274432.6,-0.0210564148508853,33280.8,75952.3,51659.79066666667,9428.253022771403,42034.2,0,1.032349265023635,0.9697383127970215,1.0374867509922128,0.9049298685552095,0.0,266174.0,178580.6,0.0,95852.0,-1.0,0.6507266265013706,0.99032939296031,-1.0,0.0,0.0,0.0,0.0,11.0,28732.0,0.0,2599.2,0.0,south Moravia,161954,8720,3651,0.9790828640386162,4.5,1.2064343163538873,48.0,116,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
12,40,12,9,OWNER,1981,2,20,M,15,youth,70,POPLATEK MESICNE,1993-01-27,3,1996-12-31,0,66,28722.2,74625.2,-1.5981714492622432,22404.6,77638.4,32454.586363636365,11276.965266375604,32835.2,0,0.05884979532789965,0.3187328901055925,0.5690844267804437,1.9954345514811649,0.0,27184.0,74625.2,0.0,0.0,-1.0,1.0,0.9464456065343184,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.2,0.0,north Bohemia,128118,9317,6872,0.9889192689595625,7.07,1.0893682588597844,85.3,97,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
14,76,14,11,OWNER,1942,6,22,F,54,Adult,76,POPLATEK MESICNE,1995-10-10,1,1996-12-31,0,49,42935.9,24872.6,0.42070388649125795,14317.8,31304.6,22850.185714285715,4656.36559006414,28901.6,0,2.4717460169570487,1.5982741661450417,1.6731575514767538,1.4570109558803734,0.0,0.0,1420.6,41928.0,23452.0,-1.0,0.05711505833728681,-1.0,1.7878219341633976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.9,0.0,north Moravia,127369,8369,2807,0.7513383297644539,5.88,1.2431289640591965,51.2,107,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
20,46,20,15,OWNER,1979,1,4,M,17,youth,70,POPLATEK MESICNE,1993-10-02,3,1996-12-31,0,74,223791.7,233379.2,-0.04284117775592213,25041.0,62205.6,39431.26081081081,9312.310193352147,33578.9,0,0.8332301071938941,1.029537011404687,0.9672416438684276,1.0130310098653983,0.0,221846.0,196515.2,0.0,36864.0,-1.0,0.842042478507082,0.9913057544135908,-1.0,0.0,0.0,0.0,0.0,12.0,36864.0,0.0,1945.7,0.0,east Bohemia,112709,8369,2618,0.9173090399439383,2.31,1.2905027932960893,73.5,117,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
24,43,24,18,OWNER,1939,7,29,F,57,Adult,43,POPLATEK TYDNE,1993-05-26,3,1996-12-31,0,63,238878.2,245716.0,-0.028624629622962614,6614.2,60490.9,29799.51746031746,13199.741721184568,26739.0,0,1.0502404410039878,0.7561724991729903,1.3279587758965192,0.9492186982718664,0.0,237544.0,245716.0,0.0,0.0,-1.0,1.0,0.9944147268356844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.2,0.0,east Bohemia,161854,9425,3891,0.9525091799265606,2.5,1.4534883720930232,76.3,125,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
25,21,25,19,OWNER,1939,4,23,F,57,Adult,21,POPLATEK MESICNE,1995-04-07,1,1996-12-31,0,90,220613.9,227479.1,-0.031118619452355504,715.0,42591.4,20349.385555555556,8409.095283466482,18020.4,0,0.8584446301685721,1.0805639571103502,1.0288667193779581,0.9293895786018121,0.0,22000.0,214863.1,196806.0,12616.0,-1.0,0.9445399599347808,0.09972173104233233,15.599714648065948,5.0,12616.0,0.0,0.0,12.0,182900.0,0.0,1807.8999999999999,2.0,south Bohemia,103347,9104,2354,1.0239234449760766,2.07,1.3708609271523178,67.0,123,1.0,30276.0,12.0,2523.0,B,0.13723523313807517,388 days 00:00:00,25197.0925,21230.8421875,2523.0,0.0,-1,-1,0.0,0.0
28,1,28,22,OWNER,1945,9,29,M,51,Adult,1,POPLATEK MESICNE,1994-03-23,2,1996-12-31,0,68,228568.0,201599.2,0.11799026985404776,23037.4,68159.8,43384.004411764705,10526.12714087195,66615.1,0,1.045781676305812,0.8242664571686229,1.7418928067876198,1.2907096790914863,0.0,226250.0,125375.2,0.0,76224.0,-1.0,0.621903261520879,0.9898585978789682,-1.0,0.0,0.0,0.0,0.0,12.0,76224.0,0.0,2318.0,0.0,Prague,1204953,12541,99107,1.1567515202446397,0.43,1.4827586206896552,100.0,167,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
29,30,29,23,OWNER,1951,9,11,F,45,Adult,30,POPLATEK MESICNE,1993-05-22,3,1996-12-31,0,70,300651.8,291119.2,0.031706445795435044,18110.8,72983.2,49748.8,11391.749012269831,71655.1,0,0.9475248141769398,0.9433705825845228,1.0760712999639899,1.2154776589912282,0.0,297944.0,221435.2,0.0,69684.0,-1.0,0.7606341319981643,0.9909935679746471,-1.0,0.0,0.0,0.0,0.0,12.0,69684.0,0.0,2707.8,0.0,west Bohemia,94812,9650,2804,0.9393634840871021,3.67,1.0857988165680474,81.8,100,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
32,52,32,26,OWNER,1980,7,28,M,16,youth,52,POPLATEK MESICNE,1993-08-08,3,1996-12-31,0,66,323981.0,322330.2,0.005095360530401438,9526.2,49805.9,28351.263636363634,9844.334888618567,29939.3,0,0.8994259579597209,1.1575649892171547,1.0185266812507483,0.9644244768272876,0.0,0.0,197686.2,322426.0,124644.0,-1.0,0.613303376475428,-1.0,2.5867751355861492,0.0,0.0,0.0,0.0,12.0,124644.0,0.0,1555.0,0.0,east Bohemia,139012,8363,2799,1.0916536661466458,3.49,1.3849206349206349,61.9,108,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
33,73,33,27,OWNER,1948,12,4,F,48,Adult,73,POPLATEK MESICNE,1993-09-26,3,1996-12-31,0,70,113901.0,122423.2,-0.07482111658369986,11024.6,34260.2,19215.452857142856,4519.045550142981,21179.6,0,0.7187768291837529,0.9716218719853829,0.9314499139463969,1.1887658264924355,0.0,112950.0,73775.2,0.0,48648.0,-1.0,0.6026243391775415,0.9916506439802987,-1.0,0.0,0.0,0.0,0.0,12.0,48648.0,0.0,951.0,0.0,north Moravia,182027,8746,4433,1.017910447761194,3.74,1.1231231231231231,56.4,90,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
36,7,36,29,OWNER,1978,7,17,F,18,youth,7,POPLATEK MESICNE,1994-11-24,2,1996-12-31,0,96,232712.1,237571.2,-0.0208803066106146,16342.6,51434.6,33114.66354166667,7434.663486231165,27328.4,0,1.054793337494455,0.8891138931540363,1.0666993595114338,0.9514150039977016,0.0,231114.0,145075.2,0.0,92496.0,-1.0,0.6106598779650059,0.9931327163477962,-1.0,0.0,0.0,12.0,96.0,12.0,82452.0,0.0,1598.1,0.0,central Bohemia,94725,9920,4846,1.1298671018885522,2.87,1.2699115044247788,63.4,130,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
38,36,38,30,OWNER,1973,7,23,F,23,youth,36,POPLATEK MESICNE,1995-03-04,1,1996-12-31,0,64,412898.8,435763.2,-0.055375312304128815,21149.0,121704.1,51693.3390625,26498.75875654662,34802.4,0,0.640445295696046,0.9208539324642302,1.2954220081155077,0.8447465109035313,0.0,410657.0,435763.2,0.0,0.0,-1.0,1.0,0.9945705824284304,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.8,0.0,north Bohemia,159617,9198,6132,1.0579710144927537,4.28,1.2852852852852854,85.2,131,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
39,68,39,31,OWNER,1968,1,25,M,28,Adult,68,POPLATEK MESICNE,1994-04-27,2,1996-12-31,0,93,605962.0,633681.2,-0.04574412256874186,20551.0,121803.6,62399.31075268818,23017.63824986444,39655.8,0,1.0678191574341727,0.7287384188316617,0.9925627046245815,1.0504570735572503,0.0,602992.0,511257.2,0.0,122424.0,-1.0,0.8068050622300299,0.9950987025589063,-1.0,0.0,0.0,0.0,0.0,12.0,122424.0,0.0,2970.0,0.0,north Moravia,228848,9893,5887,1.0469500266761516,4.72,1.1540342298288508,57.2,96,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
40,5,40,32,OWNER,1957,1,22,F,39,Adult,5,POPLATEK MESICNE,1995-08-28,1,1996-12-31,0,52,217516.9,213075.2,0.020420022536179867,37284.3,75123.2,50894.553846153845,8733.822659838837,51434.5,0,0.9290482904607004,1.023607110482677,1.113040993447605,1.032146243290016,0.0,215124.0,213075.2,0.0,0.0,-1.0,1.0,0.9889990157086646,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.9,0.0,central Bohemia,95616,9307,3040,1.162079510703364,4.43,1.1506493506493505,51.4,118,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
41,22,41,33,OWNER,1968,8,27,M,28,Adult,22,POPLATEK MESICNE,1993-08-26,3,1996-12-31,0,66,310228.3,270379.2,0.12845088600878765,55354.8,103726.0,71387.91212121212,11512.739777755438,103726.0,0,1.012399639139251,1.0381425252552918,0.9820446572810128,1.8017677801283072,14100.0,306658.0,209575.19999999998,0.0,46704.0,0.052148981874345364,0.7751158373129293,0.9884913787684747,-1.0,0.0,0.0,0.0,0.0,12.0,46704.0,0.0,3570.3,0.0,west Bohemia,58400,8620,1117,1.0257116620752984,1.25,1.1363636363636362,52.4,100,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
42,68,42,34,OWNER,1935,8,17,M,61,Adult,67,POPLATEK TYDNE,1993-09-17,3,1996-12-31,0,83,416942.3,460577.0,-0.10465404925333796,31542.7,83985.7,54087.061445783125,14276.976820219355,42206.5,0,0.8401327900747707,0.9028954734099025,1.085021370653976,0.8437283291339175,0.0,0.0,381713.0,413986.0,78864.0,-1.0,0.8287713020841249,-1.0,5.249365997159667,0.0,0.0,0.0,0.0,12.0,6024.0,0.0,2956.3,0.0,north Moravia,228848,9893,5887,1.0469500266761516,4.72,1.1540342298288508,57.2,96,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
43,75,43,35,OWNER,1920,10,28,M,76,Senior,75,POPLATEK MESICNE,1993-07-07,3,1996-12-31,0,76,66112.3,68643.2,-0.038281832578808996,12307.4,22526.6,16311.934210526315,2532.4330252968257,15809.1,0,0.787038360052963,0.9605368752834995,1.1606372666095335,1.0204861924789401,0.0,0.0,40035.2,65352.0,28608.0,-1.0,0.5832362127639736,-1.0,2.2843959731543624,0.0,0.0,0.0,0.0,12.0,12264.0,65352.0,760.3000000000001,0.0,north Moravia,138032,8819,4505,1.108786610878661,5.66,1.0520446096654275,64.6,99,0.0,0.0,0.0,0.0,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,-1,0.0,0.0
